Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2022-03-22,349.93,351.01,354.95,348.90,5.77M,0.08%,0
2022-03-21,349.66,344.99,351.21,344.30,6.31M,2.12%,-0.25349999999999995
2022-03-18,342.41,344.12,346.87,339.27,8.90M,-0.74%,0
2022-03-17,344.97,337.00,345.13,336.20,7.23M,2.64%,0
2022-03-16,336.11,335.11,337.34,331.71,5.93M,1.07%,0
2022-03-15,332.55,332.70,334.58,329.38,6.93M,0.78%,0
2022-03-14,329.98,328.65,333.48,327.65,5.97M,1.03%,0
2022-03-11,326.60,326.53,331.49,326.23,5.14M,0.40%,0
2022-03-10,325.30,322.49,325.70,321.58,3.85M,-0.03%,0
2022-03-09,325.40,326.59,327.47,322.58,5.88M,2.16%,0
2022-03-08,318.52,325.30,327.29,318.03,7.91M,-1.30%,0
2022-03-07,322.72,325.68,326.44,320.35,5.88M,-0.81%,0
2022-03-04,325.34,322.66,325.61,320.12,4.91M,-0.73%,0.0
2022-03-03,327.74,326.63,329.47,323.89,4.60M,1.27%,0
2022-03-02,323.64,319.48,325.75,318.12,4.51M,2.15%,0
2022-03-01,316.84,320.26,321.20,313.59,6.44M,-1.43%,0
2022-02-28,321.45,317.35,322.00,315.19,7.99M,0.69%,0
2022-02-25,319.24,311.16,321.43,310.78,7.49M,3.56%,0
2022-02-24,308.28,301.78,308.81,299.51,8.84M,-0.55%,0
2022-02-23,309.99,316.08,316.80,309.38,5.03M,-1.33%,0
2022-02-22,314.16,313.44,315.43,310.55,5.11M,-0.20%,0
2022-02-18,314.80,313.83,315.68,313.08,4.23M,0.40%,0
2022-02-17,313.55,314.98,315.44,312.30,3.63M,-0.67%,0
2022-02-16,315.65,315.00,316.90,314.28,3.98M,-0.17%,0
2022-02-15,316.20,316.64,317.94,314.69,3.68M,0.61%,0
2022-02-14,314.28,319.61,320.43,312.17,8.13M,-1.52%,0.296
2022-02-11,319.14,320.01,323.12,317.74,7.50M,-0.22%,0
2022-02-10,319.85,320.99,322.46,318.48,7.08M,-0.78%,0
2022-02-09,322.38,323.80,325.63,321.54,4.00M,0.29%,0
2022-02-08,321.44,318.27,322.65,316.00,6.24M,1.56%,0
2022-02-07,316.51,314.91,318.22,312.06,3.13M,0.48%,0
2022-02-04,314.99,315.87,317.84,312.70,3.66M,-0.08%,0
2022-02-03,315.23,319.33,319.65,314.61,4.15M,-1.37%,0
2022-02-02,319.60,313.57,320.16,313.00,4.63M,1.80%,0
2022-02-01,313.96,312.64,314.60,310.31,4.35M,0.30%,0
2022-01-31,313.02,312.00,313.30,307.84,5.24M,0.04%,0
2022-01-28,312.90,307.68,313.29,304.07,5.24M,1.70%,0
2022-01-27,307.67,311.70,315.92,305.31,5.06M,-0.51%,0
2022-01-26,309.26,310.40,313.33,306.57,6.13M,0.67%,0
2022-01-25,307.19,301.87,309.13,294.81,6.44M,1.14%,0
2022-01-24,303.73,299.70,304.73,296.08,8.53M,-0.49%,0
2022-01-21,305.22,309.99,311.02,304.14,6.54M,-1.86%,0
2022-01-20,311.01,315.58,317.18,310.68,4.41M,-1.19%,0
2022-01-19,314.75,321.35,321.35,314.58,6.09M,-1.73%,0
2022-01-18,320.29,322.22,323.29,318.07,5.77M,-1.18%,0
2022-01-14,324.13,318.87,324.40,316.50,4.92M,0.89%,0
2022-01-13,321.26,321.00,323.47,320.10,4.28M,0.27%,0
2022-01-12,320.39,320.62,321.05,317.26,3.58M,0.18%,0
2022-01-11,319.80,318.61,320.00,315.04,4.25M,0.27%,0
2022-01-10,318.93,321.40,322.10,315.12,5.81M,-0.27%,0
2022-01-07,319.78,315.56,320.20,314.14,5.62M,2.09%,0
2022-01-06,313.22,312.98,314.11,310.22,5.14M,1.06%,0
2022-01-05,309.92,309.87,314.48,309.50,6.89M,0.45%,0
2022-01-04,308.53,301.65,309.21,301.65,6.01M,2.57%,0
2022-01-03,300.79,300.10,301.30,299.20,3.57M,0.60%,0
2021-12-31,299.00,299.94,300.69,298.84,2.93M,-0.33%,0
2021-12-30,299.98,300.88,301.65,299.74,2.30M,0.17%,0
2021-12-29,299.46,299.23,300.65,298.86,2.69M,0.39%,0
2021-12-28,298.29,296.96,299.79,296.80,2.58M,0.55%,0
2021-12-27,296.67,295.25,296.69,294.46,2.81M,0.74%,0
2021-12-23,294.49,295.22,296.78,294.21,2.90M,0.03%,0
2021-12-22,294.41,292.86,294.57,291.74,2.45M,0.40%,0
2021-12-21,293.24,292.14,295.41,291.50,3.93M,1.25%,0
2021-12-20,289.61,290.77,291.58,287.59,5.46M,-1.38%,0
2021-12-17,293.66,297.85,298.00,292.35,12.77M,-2.17%,0
2021-12-16,300.17,296.88,301.58,295.10,6.54M,1.90%,0
2021-12-15,294.58,295.82,296.50,292.81,5.60M,-0.15%,0
2021-12-14,295.03,289.67,296.41,289.67,5.99M,1.73%,0
2021-12-13,290.01,288.50,291.58,285.84,4.89M,0.62%,0
2021-12-10,288.23,285.49,288.50,284.23,4.11M,1.30%,0
2021-12-09,284.52,283.77,284.95,281.78,3.45M,0.28%,0
2021-12-08,283.72,284.97,285.97,282.28,3.26M,-0.44%,0
2021-12-07,284.97,282.42,285.41,282.12,5.77M,1.28%,-0.6997
2021-12-06,281.38,278.73,283.17,278.73,5.53M,1.42%,0
